,Date,USD,Gold,BTC,Total Net Worth
0,9/11/16,1000.0,0,0,1000.0
1,9/23/16,390.63000000000005,0,1,972.8284000000001
2,11/19/18,5851.62,0,0,5851.62
3,11/21/18,1086.2099999999996,0,1,5488.350399999999
4,11/23/18,5544.030000000001,0,0,5544.030000000001
5,11/25/18,1103.9900000000011,0,1,4851.031433660001
6,12/3/18,5188.1900000000005,0,0,5188.1900000000005
7,12/17/18,1851.5300000000007,0,1,5176.0869
8,12/21/18,5754.720000000001,0,0,5754.720000000001
9,12/22/18,1536.8300000000015,0,1,5369.583866340002
10,12/23/18,5369.580000000001,0,0,5369.580000000001
11,12/25/18,1294.5100000000007,0,1,5032.112400000001
12,12/28/18,5065.760000000001,0,0,5065.760000000001
13,12/29/18,1246.980000000001,0,1,5081.020116340001
14,12/30/18,5081.02,0,0,5081.02
15,1/1/19,1213.6400000000003,0,1,4890.866233660001
16,1/3/19,4992.400000000001,0,0,4992.400000000001
17,1/4/19,1049.2800000000004,0,1,4795.4541336600005
18,1/9/19,5000.89,0,0,5000.89
19,1/11/19,1112.0500000000002,0,1,4685.375
20,1/14/19,4639.89,0,0,4639.89
21,1/15/19,1037.2900000000002,0,1,4620.9393
22,2/8/19,4374.88,0,0,4374.88
23,2/11/19,416.4900000000003,3,0,4296.4980000000005
24,2/25/19,4369.71,0,0,4369.71
25,2/26/19,527.4800000000001,0,1,4298.8434
26,9/26/19,8910.02,0,0,8910.02
27,9/27/19,309.1500000000009,0,1,8203.677200000002
28,10/3/19,8465.610000000002,0,0,8465.610000000002
29,10/7/19,154.9700000000028,0,1,7867.315200000003
30,10/8/19,7867.320000000002,0,0,7867.320000000002
31,10/11/19,318.5800000000024,5,0,7640.372500000002
32,11/4/19,7790.360000000002,0,0,7790.360000000002
33,1/6/20,295.51000000000204,0,1,7500.048600000002
34,1/8/20,7899.5700000000015,0,0,7899.5700000000015
35,1/9/20,1548.8900000000012,4,0,7689.8600000000015
36,2/3/20,7784.9000000000015,0,0,7784.9000000000015
37,2/5/20,1489.170000000002,4,0,7640.238000000002
38,2/10/20,7719.040000000002,0,0,7719.040000000002
